,ADA,ALGO,BTC,DOT,EGLD,ETH,LINK,TOTAL
01/02/21,2922.36,873.25,3663.49,1034.73,546.42,5611.31,2458.12,17109.66
01/02/21,2849.96,863.36,3559.59,997.25,541.12,5540.51,2418.75,16770.49
